ID,YEAR,MONTH,DAY,HOUR,MINUTE,LATITUDE,LONGITUDE,LOCATION_NAME,COUNTRY,REGION,CAUSE,EVENT_VALIDITY,EQ_MAGNITUDE,EQ_DEPTH,TS_INTENSITY,DAMAGE_TOTAL_DESCRIPTION,HOUSES_TOTAL_DESCRIPTION,DEATHS_TOTAL_DESCRIPTION,URL,COMMENTS,eq,distance_to_city,city_name,city_pop,water_temp_change
1879,1958,4.0,21.0,22.0,37.0,-4.5,104.0,"BENGKULU, SUMATRA",INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Questionable Tsunami,6.5,200.0,0.5,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/1879,"April 22, 1958, 5:40 [local time]. There was an earthquake at Bengkulu, Palembang, Telukbetung and Banten, about which 10 reports are available. The earthquake was accompanied by tidal flooding, and the height of waves gradually increased (Anon., 1959). [21.IV; 22h37m36S; 4.5 S., 104 E.; 200 km; M=6.7.] (reference #414)",1.0,174.94922125615398,Bandar Lampung,1091512,-5.738
1881,1958,9.0,17.0,12.0,24.0,48.6,156.1,N. KURIL ISLANDS,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Questionable Tsunami,5.0,40.0,-1.0,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/1881,,1.0,1297.5230443677033,Sapporo,2669680,-2.321
1884,1958,11.0,6.0,22.0,58.0,44.53,148.54,S. KURIL ISLANDS,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,8.3,40.0,2.5,Moderate (~$1 to $5 million),,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/1884,"Destruction on Iturup, Urup, Kunashir, and Lesser Kuril Islands. (Reference #413)",1.0,600.6406964533454,Sapporo,2669680,-2.321
1877,1958,1.0,19.0,14.0,7.0,1.5,-79.5,COLOMBIA-ECUADOR,ECUADOR,West Coast of South America,Earthquake,Definite Tsunami,7.6,60.0,2.0,Moderate (~$1 to $5 million),Some (~51 to 100 houses),Many (~101 to 1000 people),https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/1877,"On January 19, 1958, at 9:09 [local time] there was a strong magnitude 7.6 earthquake in the coastal regions of Ecuador and Colombia. The earthquake gave rise to a tsunami. A launch almost sank at Esmeraldas; <B>four customs officers died</B>. The waves damaged Tumaco and Guayaquil. Iida's articles (Iida, 1963) erroneously indicated that the tsunami was registered in Japan (Reference #415).
<P>Cutter sank, 5 drowned, other damage (Reference #79).",1.0,219.69164456908146,Quito,1873763,-2.321
3574,1958,2.0,7.0,23.0,23.0,31.5,105.0,SICHUAN PROVINCE,CHINA,"China, North and South Korea, Philippines, Taiwan",Earthquake,Event that only caused a seiche or disturbance in an inland river,6.2,,,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/3574,"Feburary 8, 1958 07:23:36 local time, around Maowen and Beichuan, Sichuan Province, 31.5 N, 104 E, magnitude 6.2. <P>Maowen: Waters in the Minjiang River became turbid and waves rose up. (reference #3939)",1.0,24.45436479068724,Mianyang Sichuan,1275851,-2.321
1885,1958,11.0,12.0,20.0,23.0,44.2,148.8,S. KURIL ISLANDS,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Questionable Tsunami,7.0,29.0,-1.0,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/1885,"A strong aftershock of the November 6 earthquake generated a tsunami that was recorded at Hilo, Honolulu, and Kahului. Cox (1968) believes that the oscillations are only normal background oscillations and are not a tsunami.",1.0,613.8075632131355,Sapporo,2669680,-2.321
1882,1958,10.0,7.0,10.0,0.0,-16.829,168.53599999999997,KUWAE VOLCANO,VANUATU,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Volcano,Very Doubtful Tsunami,,,0.0,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/1882,"<P><blockquote><i>Reference #414:</i></blockquote> 
<P>1958, October 7, 21:00 (10h), validity 1. The residents of Epi Island noted unusual waves at sea to the southeast of the island. The waves seemed to come from an underwater volcanic eruption. An airplane survey of the region showed spots and streams of unusual color as well as a center of churning water (Anon., 1958).",0.0,1983.8051299058732,Brisbane,2406182,-5.738
1883,1958,11.0,4.0,22.0,54.0,-50.0,-115.0,EAST PACIFIC RISE,PACIFIC OCEAN,West Coast of South America,Earthquake,Very Doubtful Tsunami,6.1,,,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/1883,"1958, November 4, 22:54:46 UTC, 50 S 115 W, magnitude 6.1 MS. An earthquake with its source within the area of the East Pacific Ridge generated a tsunami which was recorded by a number of tide gauge stations. After 15.6 hours the wave arrived at Midway Island and was recorded there with an amplitude of 10 cm and a peiod of 12 minutes (Brazee, Cloud, 1960; Iida et al., 1967; Pararas-Caraydnnis, 1969). The latter source expresses reservations regarding the authenticity of the report on this tsunami. (reference #415)
<P>1958, November 4, 22:55. A magnitude 6.0 earthquake from the East Pacific rise is listed by Pararas-Carayannis (1967) as having possibly generated a tsunami that was recorded at Midway. Given the low magnitude of the earthquake, the  usually non-tsunamigenic source region, the small wave amplitude of 0.1 m and the lack of other reports, this is a very doubtful tsunami. (reference #236)",1.0,3639.9792686626192,Concepcion,880722,-5.738
1880,1958,7.0,10.0,6.0,15.0,58.37,-136.665,"SE. ALASKA, AK",USA,Alaska (including Aleutian Islands),Earthquake and Landslide,Definite Tsunami,7.8,35.0,5.0,Limited (<$1 million),Few (~1 to 50 houses),Few (~1 to 50 people),https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/1880,"At least 8 separate tsunamis, generated by submarine and subaerial landslides and ice falls, followed this magnitude 7.9 earthquake.  The epicenter was located on the northern coast of Cross Sound near Palma Bay.  Underwater cables were broken in Juneau, Skagway, and Wrangell.  A local submarine slump off Khantaak Island in Yakutat Bay caused <B>3 deaths</B> and wrecked a boat.  Lituya Bay, the site of repeated huge local tsunamis, experienced a massive landslide which generated a surge of water reaching 525 meters in height -- 400 feet higher than the Empire State Building.  2 boats were wrecked, and <B>2 deaths</B> resulted.  30 million cubic meters of soil and loose material were washed away, along with ten square km of forest.  Shellfish colonies, a cabin, and mining equipment were also destroyed by this massive surge.  Total property damage --primarily from the three lost boats -- exceeded $100,000 (Reference #239).
<P>The earthquake caused numerous rock avalanches and slides. In Disenchantment Bay, a ""chunk"" weighing several tons broke off from a glacier descending to the water; waves 6 m high arose on the surface of the bay. On Khantaak Island, the sea waves resulting from a coastal section submerging under water reached a height of 5-6 m. A collapse in the mouth of the Alsek River caused a wave 1-2 m high, which spread upriver. The water level in the lower reaches dropped approximately 1 m; several hours later, the dam was breached and the shores of the river were flooded. In Glacier Bay, rocks crashed down from the steep beaches, resulting in small waves no more than 1/2-1 m (2-3 feet) high. Similar waves were observed in Dixon Harbor several minutes after the earthquake. The most catastrophic events, unique in the history of strong earthquakes, occurred in Lituya Bay, which is the T-shaped bed of an ancient glacier that has been filled in with water. The distinctive feature of the bay is the strong tidal currents at the throat, reaching 12 knots in velocity. At the time of the earthquake, about 300 million square meters of rock collapsed into Gilbert Bay from the northeast shore. The water extruded from the bay by the collapsing mass, splashed up on the opposite shore, reaching a colossal height. The movement of the water was so fast, that it uprooted a whole forest in the flood zone and stripped the bark and branches from the trees. Besides this gigantic splash, the collapse of this huge mass gave rise to a wave, which crossed the entire Lituya Bay from Gilbert Bay to the sea with a velocity of 150-200 km/hr, that is, with the speed of gravity waves, and devastated the shores of Lituya Bay. The tectonic dislocations in the source of the earthquake, and possibly the wave emerging from Lituya Bay, gave rise to a small tsunami, which was registered on remote tide gauges (Reference #415).
<P>The main mass of the slide, as outlined on figure 16, is a prism of rock that is roughly triangular in cross section, with dimensions of 2,400 feet and 3,000 foot along tho slope, a maximum thickness of about 300 feet normal to the slope, and a center of gravity at about 2,000 foot altitude. From those dimensions and an assumed specific gravity of 2.7, the volume and weight of tho rock mass are, respectively, <B>40 million cubic yards and 90 million tons</B>. It is highly probable that this entire mass plunged into Gilbert Inlet as a unit at the time of the earthquake, although tho only known fact is that it fell between about noon on July 7 and about 10 .m on July 10. (reference #270)",1.0,1345.7382078807918,Vancouver,2581079,-2.321
2371,1959,8.0,18.0,6.0,37.0,44.712,-111.215,"HEGBEN LAKE, MONTANA",USA,West Coast of North and Central America,Earthquake and Landslide,Event that only caused a seiche or disturbance in an inland river,7.5,5.0,,Severe (~>$5 to $24 million),,Few (~1 to 50 people),https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/2371,"<P>This earthquake was characterized by extensive fault scarps, subsidence and uplift, a massive landslide, and a seiche in Hebgen Lake. (reference #542)
<P>The earthquake also caused a northward tilt of the Hebgen Lake bed. This triggered a reported 20-foot wall of water that overtopped Hebgen Dam followed by several 3-4 foot surges. (reference #12600)",1.0,735.6907173790273,Calgary,1547484,-2.505
